category,type,url,description
Patient,get,/findcarecovidsvc/svc/v2/scheduling/patient/:patientId,Lab scheduling: get patient profile
Patient,put,/findcarecovidsvc/svc/v2/scheduling/patient/:patientId,Lab scheduling: patient profile updating
Patient,post,/findcarecovidsvc/svc/v2/scheduling/patient/,Lab scheduling: patient profile creation
Other,get,/findcarecovidsvc/svc/v2/scheduling/resources,Get all resources
Screening,patch,/findcarecovidsvc/svc/v2/scheduling/screeningResults,Lab scheduling: screening survey
Other,post,/findcarecovidsvc/svc/v2/scheduling/termsAgreement,Lab scheduling: Terms agreement API
Screening,get,/findcarecovidsvc/svc/v2/scheduling/screeningSurvey,Lab scheduling: Get survey questionnaire API
Other,patch,/findcarecovidsvc/svc/v2/scheduling/createOrder,Lab scheduling: Create order API
Locations,post,/findcarecovidsvc/svc/v2/scheduling/locations/search,Previously used post call for getting the list of locations. Still needed to handle parameters other then updateDate.
Locations,get,/findcarecovidsvc/svc/v2/scheduling/locations/search,Converted from locations/search post to get endpoint to handle akmai configuration bug
Locations,post,/findcarecovidsvc/svc/v2/scheduling/locations/searchByTimeAndGeoRange,Returns slots within N miles for specified location and in specific date/time range. See searchByTimeAndGeoRangeInputValidator for parameters.
Other,post,/findcarecovidsvc/svc/v2/scheduling/slots,Returns configured slots for specified location and priority
Appointment,post,/findcarecovidsvc/svc/v2/scheduling/appointment/updateAvailability/,Updates availability for specified store
Appointment,post,/findcarecovidsvc/svc/v2/scheduling/appointment,"Books an appointment, or appointment from held."
Appointment,post,/findcarecovidsvc/svc/v2/scheduling/fetchAppointment,Lab scheduling: fetches appointment data. Made from Get appointment for security reasons.
Other,post,/findcarecovidsvc/svc/v2/scheduling/checkResultExpiration,Check Result Expiration
Appointment,post,/findcarecovidsvc/svc/v2/scheduling/checkAppointmentExpiration,Check Appointment Expiration
Appointment,post,/findcarecovidsvc/svc/v2/scheduling/fetchEngagementFromAppointment,Temporary helper endpoint to get engagementId from appointmentId.
Appointment,get,/findcarecovidsvc/svc/v2/scheduling/appointment/:appointmentId,Lab scheduling: Get appointment. Obsolete.
Appointment,post,/findcarecovidsvc/svc/v2/scheduling/appointment/:appointmentId/reschedule,Lab scheduling: Reschedule appointment
Appointment,put,/findcarecovidsvc/svc/v2/scheduling/appointment/:appointmentId/cancel,Lab scheduling: Cancel appointment. Handles both Hard cancel and Soft cancel.
Vouchers,get,/findcarecovidsvc/svc/v2/scheduling/vouchers/:voucherId,Get all vouchers by voucherId
Other,get,/findcarecovidsvc/svc/v2/scheduling/cache/:cacheKey,Lab scheduling: get patient profile
Other,post,/findcarecovidsvc/svc/v2/scheduling/addresslookup,validate ZIP API - Wrapper for google maps API
Other,post,/findcarecovidsvc/svc/v2/scheduling/standardizeNameForSearch,FIC-4526 - COVID-19 Testing - lastNameForSearch implementation
Insurance,post,/findcarecovidsvc/svc/v2/scheduling/insurance,Add patient insurance
Insurance,put,/findcarecovidsvc/svc/v2/scheduling/insurance/:insuranceId,Update patient insurance
Insurance,get,/findcarecovidsvc/svc/v2/scheduling/insuranceCompanies,Insurance: Fetch All Insurance Companies
Insurance,get,/findcarecovidsvc/svc/v2/scheduling/insuranceCompanies/:payerId,Insurance: Fetch Insurance Company Details
Appointment,post,/findcarecovidsvc/svc/v2/scheduling/appointment/hold,Lab scheduling: Hold appointment
Appointment,put,/findcarecovidsvc/svc/v2/scheduling/appointment/hold/:appointmentId,Lab scheduling: Hold appointment
Other,post,/findcarecovidsvc/svc/v2/scheduling/uilogger,Lab scheduling: UI Error Logger
Vouchers,post,/findcarecovidsvc/svc/v2/scheduling/vouchers/match,"Matches specified group, plan, optional access code and member fields to response contains several root attributes that are conditional based on the outcome of the match operation."
Vouchers,post,/findcarecovidsvc/svc/v2/scheduling/vouchers/updateUtilization,"OBSOLETE. Will be removed later, and only used to notify on moved endpoint."
Consent,post,/findcarecovidsvc/svc/v2/scheduling/consent/search,
Consent,put,/findcarecovidsvc/svc/v2/scheduling/consent/:engagementId,
Other,post,/findcarecovidsvc/svc/v2/scheduling/drupal/cms,
Consent,get,/findcarecovidsvc/svc/v2/scheduling/consent/getConsentPdfs/:engagementId,Gets previously created consent Pdfs for specified engagementId
Consent,post,/findcarecovidsvc/svc/v2/scheduling/consent/createConsentPdfs,Creates or downloads and then merges concent Pdf files based on Voucher to get list of consents to generate.
Other,post,/findcarecovidsvc/svc/v2/scheduling/fetchToken,"Validates test result notification email by validating DOB based on results/:engagementId/fetch, but takes engagement OR appontmentId, and uses body instead of get."
Results,post,/findcarecovidsvc/svc/v2/scheduling/results/:engagementId/fetch,Validates test result notification email by validating DOB
Results,post,/findcarecovidsvc/svc/v2/scheduling/results/:engagementId/labReports,PUBLIC endpoint for retreiving lab reports after validating DOB
Smart Health Cards,get,/findcarecovidsvc/svc/v2/scheduling/smartHealthCards/qr/:engagementId,
Smart Health Cards,get,/findcarecovidsvc/svc/v2/scheduling/smartHealthCards/downloadCard/:engagementId,
